STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-01,0,7,0,",7",,,,,,,,,5,",7",31,",7",16,",7",0,",7",0,",7",-10,",7,06,+",,,,,,,48,",7,11,+",3433,7,1340,",7",2.27,"2,a,,7",,,21.8,",7",30.6,",,,7",12.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-02,0,7,0,",7",,,,,,,,,4,",7",27,",7",9,",7",0,",7",0,",7",-26,",7,15,",,,,,,,57,",7,29,",4576,7,1143,",7",5,"1,a,,7",,,25.6,",7",36.5,",,,7",14.7,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-03,0,7,0,",7",,,,,,,,,0,",7",23,",7",3,",7",1,",7",0,",7",7,",7,04,+",,,,,,,74,",7,10,",5456,7,880,",7",3.6,",a,,7",,,36.6,",7",47.6,",,,7",25.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-04,0,7,0,"1,7",,,,,,,,,0,",7",17,",7",1,"1,7",3,"1,7",0,"1,7",6,",7,05,",,,,,,,76,"1,7,22,",6133,7,677,"1,7",3.52,"1,a,,7",,,41.8,"1,7",53.2,"1,,,7",30.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-05,44,7,44,",7",,,,,,,,,0,",7",1,",7",0,",7",13,",7",0,",7",29,",7,10,",,,,,,,89,",7,30,+",6477,7,344,",7",2.56,"2,a,,7",,,55.3,",7",66.1,",,,7",44.5,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-06,106,7,62,",7",,,,,,,,,0,",7",0,",7",0,",7",21,",7",0,",7",39,",7,10,",,,,,,,87,",7,21,",6594,7,116,",7",5.36,",a,,7",,,63.2,",7",73.3,",,,7",53.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-07,268,7,162,",7",,,,,,,,,0,",7",0,",7",0,",7",30,",7",0,",7",50,",7,04,",,,,,,,87,",7,25,+",7,7,7,",7",3.65,"2,a,,7",,,70,",7",80.8,",,,7",59.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-08,425,7,157,",7",,,,,,,,,0,",7",0,",7",0,",7",29,",7",0,",7",48,",7,23,",,,,,,,89,",7,12,",15,7,7,",7",5.3,"1,a,,7",,,69.8,",7",79.3,",,,7",60.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-09,485,7,60,",7",,,,,,,,,0,",7",0,",7",0,",7",24,",7",0,",7",35,",7,26,",,,,,,,85,",7,09,",118,7,103,",7",2.63,",a,,7",,,63.6,",7",75.4,",,,7",51.7,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-10,488,7,3,",7",,,,,,,,,0,",7",8,",7",0,",7",4,",7",0,",7",26,",7,27,",,,,,,,81,",7,19,",595,7,477,",7",6.74,"2,a,,7",,,49.7,",7",58.5,",,,7",41,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-11,488,7,0,",7",,,,,,,,,0,",7",16,",7",3,",7",0,",7",0,",7",23,",7,23,+",,,,,,,65,",7,20,+",1339,7,744,",7",2.9,",a,,7",,,40.2,",7",48.5,",,,7",31.8,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2016-12,488,7,0,",7",,,,,,,,,3,",7",28,",7",13,",7",0,",7",0,",7",-11,",7,17,+",,,,,,,52,",7,01,",2529,7,1190,",7",5.84,"2,a,,7",,,26.6,",7",33.3,",,,7",19.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-01,0,7,0,",7",,,,,,,,,3,",7",29,",7",11,",7",0,",7",0,",7",-8,",7,09,",,,,,,,50,",7,13,",3738,7,1209,",7",4.77,"3,a,,7",,,26,",7",33.6,",,,7",18.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-02,0,7,0,",7",,,,,,,,,0,",7",25,",7",11,",7",0,",7",0,",7",5,",7,10,+",,,,,,,62,",7,25,+",4748,7,1011,",7",4.83,",a,,7",,,28.9,",7",37.3,",,,7",20.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-03,0,7,0,",7",,,,,,,,,2,",7",26,",7",11,",7",0,",7",0,",7",-3,",7,12,+",,,,,,,63,",7,02,+",5927,7,1179,",7",4,",a,,7",,,27,",7",36,",,,7",18,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-04,1,7,1,",7",12,",7",11,",7",0,",7",0,",7",0,",7",11,",7",0,",7",6,",7",0,",7",24,",7,10,",0,",,7,30,+",0,",,7,30,+",1.8,",,7,05,",80,",7,11,",6417,7,490,",7",6.35,",,,7",0,",,,7",48.7,",7",59.3,",,,7",38.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-05,16,7,15,",7",16,",7",11,",7",0,",7",0,",7",0,",7",1,",7",0,",7",6,",7",0,",7",31,",7,04,",0,",,7,31,+",0,",,7,31,+",1.72,",,7,30,",87,",7,19,",6812,7,395,",7",7.88,",,,7",0,",,,7",52.7,",7",61.2,",,,7",44.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-06,66,7,51,",7",15,",7",12,",7",0,",7",0,",7",0,",7",0,",7",0,",7",21,",7",0,",7",39,",7,03,+",0,",,7,30,+",0,",,7,30,+",1.16,",,7,19,",88,",7,19,+",6928,7,116,",7",6.51,",,,7",0,",,,7",62.8,",7",73.4,",,,7",52.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-07,173,7,107,",7",13,",7",11,",7",0,",7",0,",7",0,",7",0,",7",0,",7",29,",7",0,",7",48,",7,30,",0,",,7,31,+",0,",,7,31,+",3.67,",,7,02,",84,",7,13,",11,7,11,",7",8.54,",,,7",0,",,,7",68.1,",7",76.6,",,,7",59.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-08,244,7,71,",7",,,,,0,",7",0,",7",0,",7",0,",7",0,",7",28,",7",0,",7",41,",7,23,",0,",,7,31,+",0,",,7,31,+",,,85,",7,03,",84,7,72,",7",5.87,",a,,7",0,",,,7",65,",7",75.8,",,,7",54.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-09,316,7,72,",7",6,",7",5,",7",0,",7",0,",7",0,",7",0,",7",0,",7",19,",7",0,",7",37,",7,12,+",0,",,7,30,+",0,",,7,30,+",0.87,",,7,03,",89,",7,25,+",221,7,137,",7",2.69,",,,7",0,",,,7",62.8,",7",74.2,",,,7",51.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-10,320,7,4,",7",9,"5,7",7,"5,7",0,",7",0,",7",0,",7",1,",7",0,",7",13,",7",0,",7",29,",7,17,",0,",,7,31,+",0,",,7,31,+",3.48,"5,,7,30,",78,",7,05,",509,7,288,",7",7.29,",a,,7",0,",,,7",55.8,",7",66.1,",,,7",45.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-11,320,7,0,",7",,,,,,,,,0,",7",22,",7",1,",7",0,",7",0,",7",13,",7,13,",,,,,,,61,",7,03,",1357,7,848,",7",6.04,",a,,7",,,36.7,",7",44.1,",,,7",29.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2017-12,320,7,0,",7",13,",7",9,",7",,,,,5,",7",29,",7",20,",7",0,",7",0,",7",-18,",7,31,+",,,,,1.13,",,7,27,",50,",7,06,",2680,7,1322,",7",4.24,",,,7",,,22.3,",7",29.5,",,,7",15.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-01,0,7,0,",7",11,",7",9,",7",,,,,8,",7",29,",7",18,",7",0,",7",0,",7",-18,",7,07,+",,,,,1.08,",,7,15,",53,",7,12,",4145,7,1465,",7",4.04,",,,7",,,17.7,",7",27.4,",,,7",8.1,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-02,0,7,0,",7",11,",7",9,",7",,,,,2,",7",25,",7",10,",7",0,",7",0,",7",0,",7,14,+",,,,,1,",,7,20,",69,",7,22,",5175,7,1030,",7",4.61,",,,7",,,28.2,",7",38.6,",,,7",17.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-03,0,7,0,",7",9,",7",8,",7",,,,,0,",7",30,",7",9,",7",0,",7",0,",7",2,",7,19,+",,,,,1.45,",,7,02,",58,",7,01,",6276,7,1101,",7",4.41,",,,7",,,29.5,",7",37.6,",,,7",21.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-04,0,7,0,",7",10,",7",9,",7",,,,,0,",7",21,",7",2,",7",2,",7",0,",7",14,",7,09,+",,,,,1.1,",,7,04,",70,",7,25,+",7093,7,817,",7",4.16,",,,7",,,37.8,",7",46.2,",,,7",29.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-05,29,7,29,",7",12,",7",10,",7",,,,,0,",7",0,",7",0,",7",21,",7",0,",7",34,",7,01,",,,,,0.95,",,7,21,",86,",7,31,",7244,7,151,",7",3.42,",,,7",,,61.1,",7",73.9,",,,7",48.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-06,76,7,47,",7",8,",7",7,",7",,,,,0,",7",0,",7",0,",7",23,",7",1,",7",43,",7,26,",,,,,1.23,",,7,04,",90,",7,30,",7333,7,89,",7",3.31,",,,7",,,63.6,",7",74.9,",,,7",52.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-07,311,7,235,",7",10,",7",6,",7",,,,,0,",7",0,",7",0,",7",31,",7",6,",7",46,",7,07,",,,,,1.92,",,7,25,",94,",7,02,",9,7,9,",7",6.68,",,,7",,,72.3,",7",83.3,",,,7",61.2,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-08,498,7,187,"3,7",12,"3,7",8,"3,7",,,,,0,"3,7",0,"3,7",0,"3,7",28,"3,7",0,"3,7",50,"3,7,23,",,,,,2.23,"3,,7,20,",89,"3,7,08,+",15,7,5,"3,7",5.24,"3,,,7",,,71.5,"3,7",80.2,"3,,,7",62.8,"3,,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-09,592,7,93,",7",11,",7",8,",7",,,,,0,",7",0,",7",0,",7",20,",7",0,",7",38,",7,24,+",,,,,2.5,",,7,11,",89,",7,07,",139,7,125,",7",5.91,",,,7",,,63.9,",7",73.5,",,,7",54.4,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-10,604,7,12,",7",21,",7",10,",7",,,,,0,",7",5,",7",0,",7",4,",7",0,",7",28,",7,26,",,,,,1.75,",,7,29,",81,",7,11,",681,7,542,",7",6,",,,7",,,47.9,",7",55.2,",,,7",40.6,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-11,604,7,0,"1,7",13,",7",12,",7",,,,,2,",7",22,",7",5,"1,7",0,"1,7",0,"1,7",-7,",7,22,",,,,,1.32,",,7,13,",56,"1,7,07,",1586,7,905,"1,7",6.68,",,,7",,,33.9,"1,7",40,"1,,,7",27.9,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2018-12,604,7,0,"1,7",9,",7",8,",7",,,,,0,",7",30,",7",15,"1,7",0,"1,7",0,"1,7",1,",7,10,+",,,,,1.25,",,7,03,",54,"1,7,22,",2736,7,1150,"1,7",4.08,",,,7",,,26.7,"1,7",34.1,"1,,,7",19.3,",,,7"
USC00308578,"TRENTON FALLS, NY US",43.2761,-75.1566,243.8,2019-01,0,7,0,",7",9,",7",8,",7",,,,,7,",7",31,",7",23,",7",0,",7",0,",7",-15,",7,23,+",,,,,1.25,",,7,21,",49,",7,02,",4267,7,1531,",7",4.8,",,,7",,,15.6,",7",25.3,",,,7",6,",,,7"
